,id_registro,arco,longitud,latitud,carga
2993,2994,259-2832,-75.57494707186376,6.221180284244291,366.0
2994,2995,259-2832,-75.57514190552641,6.2216323621680125,366.0
3015,3016,261-2838,-75.57756301799435,6.199621292981826,1882.0
3016,3017,261-2838,-75.57910835641724,6.1993482331052014,1882.0
3017,3018,261-2838,-75.57872202181152,6.199416498074359,1882.0
3018,3019,261-2838,-75.57833568720581,6.199484763043515,1882.0
3019,3020,261-2838,-75.57794935260006,6.19955302801267,1882.0
3690,3691,326-4282,-75.6439689338128,6.2204403268799515,28.0
3691,3692,326-4282,-75.67540496915845,6.219107553222133,28.0
3692,3693,326-4282,-75.66754596032203,6.219440746636588,28.0
3693,3694,326-4282,-75.65968695148561,6.219773940051043,28.0
3694,3695,326-4282,-75.6518279426492,6.220107133465498,28.0
3870,3871,356-3860,-75.55439047231638,6.347897855619268,1489.0
3871,3872,356-3860,-75.55147815290292,6.346969248157297,1489.0
3872,3873,356-3860,-75.55220623275628,6.347201400022789,1489.0
3873,3874,356-3860,-75.55293431260965,6.347433551888281,1489.0
3874,3875,356-3860,-75.55366239246301,6.347665703753775,1489.0
3880,3881,357-3857,-75.5465743299937,6.343754140843854,10.0
3881,3882,357-3857,-75.54529113609651,6.344397744467021,10.0
3882,3883,357-3857,-75.54561193457081,6.344236843561228,10.0
3883,3884,357-3857,-75.54593273304509,6.344075942655437,10.0
3884,3885,357-3857,-75.5462535315194,6.3439150417496455,10.0
4000,4001,367-4528,-75.54382317525068,6.306678256710447,581.0
4001,4002,367-4528,-75.54850865666441,6.3089619373294985,581.0
4002,4003,367-4528,-75.54733728631095,6.3083910171747375,581.0
4003,4004,367-4528,-75.54616591595754,6.307820097019974,581.0
4004,4005,367-4528,-75.54499454560411,6.30724917686521,581.0
4010,4011,367-3887,-75.54793406003766,6.308318852179599,4194.0
4011,4012,367-3887,-75.54850865666441,6.3089619373294985,4194.0
4012,4013,367-3887,-75.54836500750771,6.3088011660420245,4194.0
4013,4014,367-3887,-75.54822135835101,6.3086403947545495,4194.0
4014,4015,367-3887,-75.54807770919433,6.308479623467075,4194.0
4050,4051,371-5512,-75.56500128809697,6.330320689446098,356.0
4051,4052,371-5512,-75.56537432933213,6.329975350445098,356.0
